score_total,chain,code,name,price,market_cap_yi,pe_ttm,pb,change_pct,change_60d_pct,change_ytd_pct,turnover_rate_pct,industry,match_strength,score_valuation,score_performance,score_technical,score_ai,exchange,hard_filter_pass,hard_filter_reason
91,power,600312,平高电气,21.59,293.0,17.65,2.51,-2.88,2.37,24.44,2.58,电网设备,strong,30,25,16,20,SS,True,
86,power,603390,通达电气,14.8,52.0,20.38,3.04,10.04,15.53,13.24,7.1,汽车零部件,strong,21,25,20,20,SS,True,
81,power,000899,赣能股份,12.92,126.1,15.6,1.89,-2.86,21.54,30.51,3.13,电力,weak,30,30,11,10,SZ,True,
79,cooling,601882,海天精工,24.34,127.1,28.53,4.38,5.14,21.52,27.04,3.11,通用设备,weak,21,30,18,10,SS,True,
72,cooling,601177,杭齿前进,16.97,69.2,27.56,2.38,5.53,1.86,-2.19,6.05,通用设备,weak,25,20,17,10,SS,True,
72,power,002358,森源电气,7.25,67.4,31.68,2.01,-2.95,-4.35,33.76,4.06,电网设备,strong,18,23,11,20,SZ,True,
71,optical,003019,宸展光电,36.55,64.6,58.34,3.75,8.33,20.39,9.17,8.62,光学光电子,strong,6,25,20,20,SZ,True,
71,power,600509,天富能源,10.03,137.9,19.68,1.77,-2.9,20.41,21.43,20.88,电力,weak,30,15,16,10,SS,True,
66,power,603320,迪贝电气,26.18,39.0,61.02,3.26,6.21,16.05,37.36,6.04,电机Ⅱ,strong,6,25,15,20,SS,True,
66,optical,002449,国星光电,8.11,50.2,-37.35,1.34,-2.87,-4.48,-4.14,3.88,光学光电子,strong,10,23,13,20,SZ,True,
65,power,603333,尚纬股份,9.65,60.0,2736.94,2.94,10.03,20.47,15.57,7.37,电网设备,weak,10,25,20,10,SS,True,
64,power,002150,正泰电源,29.72,107.3,178.17,4.96,4.65,15.51,47.86,9.11,通用设备,strong,6,25,13,20,SZ,True,
61,power,601616,广电电气,4.48,38.2,-40.64,1.6,-2.82,-12.33,16.06,3.83,电网设备,strong,10,15,16,20,SS,True,
61,power,000722,湖南发展,14.35,66.6,127.25,2.12,-2.97,12.2,22.13,6.18,电力,weak,10,25,16,10,SZ,True,
61,power,600973,宝胜股份,7.39,101.3,51.02,2.99,-3.02,3.36,1.23,3.3,电网设备,weak,10,25,16,10,SS,True,
60,cooling,603677,奇精机械,17.04,32.8,70.3,2.91,10.01,-4.8,-5.23,2.37,家电零部件Ⅱ,weak,10,23,17,10,SS,True,
53,cooling,603081,大丰实业,12.89,54.5,358.86,1.7,5.57,-8.45,-8.13,5.35,专用设备,weak,10,18,15,10,SS,True,
53,optical,002952,亚世光电,29.89,49.1,137.5,5.58,4.73,23.92,52.19,12.88,光学光电子,strong,3,15,15,20,SZ,True,
53,pcb_hbm,603396,金辰股份,36.59,50.7,58.14,1.94,-2.92,-23.96,9.06,4.93,光伏设备,weak,10,15,18,10,SS,True,
52,cooling,603278,大业股份,16.96,58.0,-59.01,2.99,9.99,33.23,-0.47,22.34,通用设备,weak,10,15,17,10,SS,True,
52,pcb_hbm,600151,航天机电,14.08,201.9,-302.62,4.58,-2.9,-9.8,-19.77,3.44,光伏设备,weak,6,23,13,10,SS,True,
45,cooling,002031,巨轮智能,8.4,184.7,-128.86,9.52,9.95,10.38,6.87,25.3,专用设备,weak,0,15,20,10,SZ,True,
45,cooling,002786,银宝山新,8.41,41.7,72.52,20.92,6.32,-0.36,-2.21,7.35,专用设备,weak,0,18,17,10,SZ,True,
43,pcb_hbm,603078,江化微,30.25,116.7,101.35,5.85,10.0,23.92,69.47,12.78,电子化学品Ⅱ,weak,3,15,15,10,SS,True,
43,pcb_hbm,002729,好利科技,20.91,38.3,99.68,6.75,9.99,10.63,30.61,12.81,其他电子Ⅱ,weak,3,15,15,10,SZ,True,
43,cooling,002164,宁波东力,14.29,76.0,87.3,4.78,9.75,1.85,-10.74,13.57,通用设备,weak,6,10,17,10,SZ,True,
43,pcb_hbm,600130,波导股份,6.39,47.9,468.6,5.27,8.49,48.6,52.51,27.77,消费电子,weak,3,15,15,10,SS,True,
43,power,002879,长缆科技,17.8,34.4,634.18,2.04,-2.84,-18.42,-1.55,5.2,电网设备,weak,10,10,13,10,SZ,True,
40,pcb_hbm,002888,惠威科技,22.4,33.1,-359.21,8.69,5.91,4.48,14.34,15.02,消费电子,weak,0,10,20,10,SZ,True,
37,pcb_hbm,600990,四创电子,21.22,57.5,-25.08,3.72,-2.84,-21.52,-32.95,1.95,军工电子Ⅱ,weak,6,15,6,10,SS,True,
36,cooling,002445,中南文化,4.25,101.0,95.89,4.42,9.54,54.55,63.46,17.49,通用设备,weak,6,5,15,10,SZ,True,
36,power,002471,中超控股,8.01,109.6,-578.77,6.08,-2.91,-18.01,-0.12,6.03,电网设备,weak,3,10,13,10,SZ,True,
34,cooling,600592,龙溪股份,19.94,79.7,-8211.83,3.08,4.95,-16.57,-26.99,5.28,通用设备,weak,6,10,8,10,SS,True,
34,pcb_hbm,600481,双良节能,6.76,139.5,-8.84,3.21,-2.87,-35.68,3.36,15.28,光伏设备,weak,6,0,18,10,SS,True,
31,cooling,002527,新时达,13.73,91.0,-302.95,7.32,4.73,-17.39,-22.6,5.21,专用设备,weak,3,10,8,10,SZ,True,
31,pcb_hbm,002036,联创电子,8.38,88.6,-22.89,9.18,-2.78,-20.87,-23.96,3.35,光学光电子,weak,0,15,6,10,SZ,True,
23,power,600396,华电辽能,17.43,256.7,40.69,16.72,4.75,453.33,511.58,23.35,电力,weak,8,0,5,10,SS,True,
