COLS: ['选项', '指标', '20260331', '20251231', '20250930', '20250630', '20250331', '20241231', '20240930', '20240630', '20240331', '20231231', '20230930', '20230630', '20230331', '20221231', '20220930', '20220630', '20220331', '20211231', '20210930', '20210630', '20210331', '20201231', '20200930', '20200630', '20200331', '20191231', '20190930', '20190630', '20190331', '20181231', '20180930', '20180630', '20180331', '20171231', '20170930', '20170630', '20170331', '20161231', '20160930', '20160630', '20160331', '20151231', '20150930', '20150630', '20150331', '20141231', '20140930', '20140630', '20140331', '20131231', '20121231', '20111231']

      选项                  指标      20260331      20251231      20250930      20250630      20250331      20241231      20240930      20240630      20240331      20231231      20230930      20230630      20230331      20221231      20220930      20220630      20220331      20211231      20210930      20210630      20210331      20201231      20200930      20200630      20200331      20191231      20190930      20190630      20190331      20181231      20180930      20180630      20180331      20171231      20170930      20170630      20170331      20161231      20160930      20160630      20160331      20151231      20150930      20150630      20150331      20141231      20140930      20140630      20140331      20131231      20121231      20111231
0   常用指标               归母净利润  2.378943e+08  7.101163e+08  6.007730e+08  3.987668e+08  1.683431e+08  5.842539e+08  4.921482e+08  3.214555e+08  1.483757e+08  4.054962e+08  2.913312e+08  1.817840e+08  7.284370e+07  4.352018e+08  3.310302e+08  2.212932e+08  7.955942e+07  3.579436e+08  2.959683e+08  1.984494e+08  7.729061e+07  2.143407e+08  1.179186e+08  7.013854e+07  3.579648e+07  2.545461e+08  2.085757e+08  1.644599e+08  6.667540e+07  3.695717e+08  3.257488e+08  2.468731e+08  9.746338e+07  3.965130e+08  2.971210e+08  1.775237e+08  5.638823e+07  2.387567e+08  1.617193e+08  1.215579e+08  4.983270e+07  1.853175e+08  1.478471e+08  1.015674e+08  4.254992e+07  2.189023e+08  1.841409e+08  1.273679e+08  6.655189e+07  2.687157e+08  1.689853e+08  2.892505e+08
1   常用指标               营业总收入  8.381531e+08  3.001736e+09  2.227854e+09  1.483065e+09  7.251526e+08  2.528885e+09  1.913406e+09  1.308825e+09  6.426586e+08  2.032519e+09  1.410761e+09  9.347538e+08  4.264613e+08  1.597624e+09  1.137512e+09  7.461217e+08  3.975835e+08  1.504881e+09  1.191627e+09  8.284854e+08  3.717478e+08  8.325333e+08  5.604788e+08  3.510925e+08  2.086968e+08  9.728608e+08  7.409603e+08  5.442195e+08  2.543469e+08  1.074714e+09  8.706059e+08  6.510697e+08  2.961011e+08  1.057057e+09  7.741357e+08  4.872735e+08  1.972967e+08  6.895396e+08  4.978624e+08  3.523009e+08  1.753589e+08  6.217270e+08  4.893610e+08  3.507990e+08  1.664795e+08  6.635157e+08  5.281017e+08  3.799872e+08  1.941666e+08  8.147371e+08  5.469846e+08  6.608693e+08
2   常用指标                营业成本  5.558757e+08  2.151287e+09  1.566648e+09  1.046707e+09  5.367204e+08  1.894717e+09  1.384143e+09  9.496706e+08  4.732039e+08  1.594496e+09  1.107381e+09  7.409136e+08  3.456829e+08  1.232542e+09  8.676072e+08  5.679339e+08  3.121852e+08  1.140232e+09  8.897684e+08  6.156438e+08  2.879127e+08  6.745482e+08  4.669556e+08  3.032480e+08  1.753780e+08  7.463449e+08  5.558178e+08  4.013124e+08  2.042344e+08  7.543804e+08  5.821983e+08  4.249814e+08  2.052368e+08  6.942408e+08  4.972599e+08  3.116735e+08  1.387388e+08  4.765732e+08  3.457239e+08  2.440821e+08  1.256933e+08  4.486322e+08  3.460765e+08  2.457307e+08  1.197588e+08  4.418882e+08  3.424776e+08  2.410340e+08  1.226123e+08  5.349659e+08  3.694272e+08  3.924076e+08
3   常用指标                 净利润  2.542478e+08  7.587373e+08  6.341810e+08  4.232779e+08  1.787000e+08  6.239780e+08  5.201418e+08  3.455904e+08  1.634517e+08  4.377825e+08  3.087813e+08  1.915367e+08  7.714117e+07  4.562975e+08  3.417972e+08  2.255437e+08  8.133686e+07  3.647018e+08  3.023253e+08  2.028808e+08  7.992882e+07  2.165772e+08  1.198069e+08  7.047930e+07  3.593257e+07  2.553524e+08  2.090365e+08  1.646006e+08  6.676142e+07  3.705346e+08  3.263538e+08  2.471629e+08  9.759138e+07  3.972228e+08  2.979979e+08  1.779838e+08  5.668402e+07  2.388107e+08  1.618612e+08  1.214807e+08  4.979163e+07  1.853268e+08  1.477248e+08  1.015861e+08  4.238087e+07  2.181469e+08  1.830108e+08  1.262591e+08  6.586167e+07  2.717229e+08  1.727698e+08  2.893875e+08
4   常用指标               扣非净利润  2.330985e+08  7.262840e+08  6.158445e+08  3.994895e+08  1.721569e+08  5.861623e+08  4.909213e+08  3.215837e+08  1.434230e+08  3.966980e+08  2.816236e+08  1.776856e+08  7.118595e+07  3.431426e+08  2.498484e+08  1.605105e+08  7.886105e+07  3.400587e+08  2.833264e+08  1.903643e+08  7.510828e+07  1.502554e+08  9.262220e+07  5.197927e+07  2.794375e+07  2.195923e+08  1.812592e+08  1.380311e+08  5.266856e+07  3.196271e+08  2.865746e+08  2.175549e+08  8.675027e+07  3.504299e+08  2.668676e+08  1.677228e+08  5.309429e+07  2.073947e+08  1.431419e+08  1.054824e+08  4.426615e+07  1.739485e+08  1.449348e+08  1.015707e+08  4.262007e+07  2.172439e+08  1.826126e+08  1.260677e+08  6.581258e+07  2.676338e+08  1.677812e+08  2.885286e+08
5   常用指标         股东权益合计(净资产)  3.293480e+09  3.060931e+09  2.930476e+09  2.724212e+09  2.872536e+09  2.716775e+09  2.611443e+09  2.439815e+09  2.588733e+09  2.429562e+09  2.463322e+09  2.166764e+09  2.239609e+09  2.164151e+09  2.047078e+09  1.875366e+09  1.730576e+09  2.019372e+09  1.958775e+09  1.846019e+09  1.923838e+09  1.845869e+09  1.745291e+09  1.696698e+09  1.647897e+09  1.814780e+09  1.767485e+09  1.723049e+09  1.904341e+09  1.836485e+09  1.793232e+09  1.713893e+09  2.021502e+09  1.924411e+09  1.725761e+09  1.514737e+09  1.394118e+09  1.538816e+09  1.460846e+09  1.419757e+09  1.526494e+09  1.477282e+09  1.437207e+09  1.394276e+09  9.662042e+08  9.238448e+08           NaN  8.274334e+08           NaN  8.446821e+08  6.604454e+08  6.736319e+08
6   常用指标                  商誉  3.737157e+08  3.737157e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.135260e+08  4.175702e+08  2.303601e+08  2.303601e+08  2.303601e+08  2.247529e+08  1.962914e+08  1.962914e+08  1.962914e+08  1.962914e+08  1.962914e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.478010e+08  1.513027e+08           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN
7   常用指标            经营现金流量净额  1.183960e+08  3.825605e+08  2.163989e+08  1.862815e+08  6.798120e+06  2.273889e+08  1.225830e+08  9.942705e+07  3.074731e+07  3.320527e+08  1.289786e+08  1.374977e+08  3.429827e+07  2.182290e+08  1.735878e+08  1.322615e+08  1.754768e+07  2.547174e+08  2.139648e+08  1.659727e+08 -3.526935e+06  9.494999e+07  6.704750e+07 -8.184168e+05 -2.423138e+07  3.559422e+08  2.350683e+08  1.241419e+08  7.022963e+07  3.030976e+08  2.367547e+08  1.351715e+08  3.552097e+07  2.131891e+08  1.498843e+08  1.065088e+08  4.613597e+07  2.434189e+08  1.457043e+08  9.294205e+07  6.325158e+07  2.145609e+08  1.085469e+08  6.785228e+07  2.394410e+07  2.551214e+08  1.902700e+08  1.025208e+08  1.458645e+07  2.335797e+08  2.556268e+08  1.092604e+08
