code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
601766,中国中车,BK0917,11.84,0.0,11.84,16.5,34.38,731,0.18,160139661611.0
688107,安路科技,BK0917,406.41,0.0,406.41,804.76,2333.46,241,2.17,15873634933.0
688361,中科飞测,BK0917,1.19,0.1,1.16,391.05,3958.65,945,5.21,70732973874.0
300456,赛微电子,BK0917,20.61,1.0,11.77,103.93,363.79,585,2.52,30042704888.0
301297,富乐德,BK0917,63.0,1.3,57.53,99.52,284.55,1256,9.15,32369304236.0
300139,晓程科技,BK0917,58.11,4.3,35.07,110.32,1073.23,258,1.3,10907940000.0
603160,汇顶科技,BK0917,32.18,4.6,22.67,47.13,190.27,635,-0.04,24412467534.0
603379,三美股份,BK0917,16.34,4.6,14.86,31.69,125.04,875,-2.5,34522589542.0
688525,佰维存储,BK0917,34.45,5.0,31.09,171.81,585.08,397,3.73,141125753141.0
603690,至纯科技,BK0917,26.82,9.1,13.57,67.82,182.32,605,3.54,10294079040.0
603501,豪威集团,BK0917,31.52,9.5,1.01,65.76,9161.42,767,1.37,117656806339.0
002414,高德红外,BK0917,52.21,13.2,28.18,120.55,2348.97,645,1.01,51078003852.0
002023,海特高新,BK0917,71.78,13.6,9.0,140.04,1651.49,685,1.45,8305043234.0
002049,紫光国微,BK0917,35.99,16.1,16.27,60.66,179.02,731,3.77,61700008017.0
600406,国电南瑞,BK0917,22.07,17.0,16.77,26.12,50.57,731,-0.17,183284675480.0
301571,国科天成,BK0917,44.85,17.7,38.87,49.51,71.8,657,-0.69,9613640151.0
300724,捷佳伟创,BK0917,11.27,20.0,6.13,30.74,108.07,715,0.54,24683454465.0
688187,时代电气,BK0917,17.45,22.4,14.84,20.94,57.15,868,3.91,74487534419.0
688126,沪硅产业,BK0917,184.82,27.5,89.76,315.62,844.31,385,20.01,104868392260.0
688256,寒武纪,BK0917,289.14,27.9,206.71,318.11,4283.29,208,1.75,799301749302.0
688556,高测股份,BK0917,12.33,28.6,4.18,37.89,122.16,833,2.79,8872665615.0
002402,和而泰,BK0917,33.61,29.1,20.79,42.02,118.38,731,0.62,22456832275.0
002409,雅克科技,BK0917,49.93,29.3,27.91,62.56,380.95,731,3.38,51966543161.0
300604,长川科技,BK0917,80.83,29.8,34.01,100.09,2042.19,835,5.12,133646625225.0
688521,芯原股份,BK0917,347.81,30.4,222.86,398.71,2180.38,313,4.69,117279105879.0
002594,比亚迪,BK0917,30.18,31.6,16.95,40.96,282.6,731,-0.56,826747475194.0
300475,香农芯创,BK0917,40.27,32.8,22.42,47.5,351.34,731,1.95,76173760860.0
600198,大唐电信,BK0917,160.9,33.9,14.5,200.84,1718.23,236,10.01,12175657073.0
002371,北方华创,BK0917,76.14,35.3,31.99,116.88,506.55,731,4.83,445068971202.0
000100,TCL科技,BK0917,19.11,35.4,5.79,23.6,297.9,694,4.09,100676174243.0
002077,大港股份,BK0917,118.5,36.7,18.96,207.73,981.99,532,3.61,9320397119.0
605358,立昂微,BK0917,58.79,36.8,22.77,68.86,356.48,660,10.0,47781958738.0
600160,巨化股份,BK0917,24.83,37.5,9.04,30.98,602.17,731,-1.49,101456457724.0
688099,晶晨股份,BK0917,44.52,39.5,20.67,54.96,3093.35,817,1.42,38941206340.0
000733,振华科技,BK0917,28.45,39.8,9.29,30.61,90.9,731,0.63,28140723706.0
002506,协鑫集成,BK0917,130.68,40.1,1.0,149.95,9953.72,344,0.62,19130534716.0
300223,北京君正,BK0917,116.19,40.6,30.66,189.49,5465.96,731,0.24,72365862591.0
600360,华微电子,BK0917,64.28,40.6,31.48,77.1,308.48,731,4.67,11830838145.0
300236,上海新阳,BK0917,77.93,41.4,21.54,86.59,2043.01,691,6.98,29445387096.0
300458,全志科技,BK0917,80.8,41.7,23.72,89.03,767.96,695,2.01,30792821446.0
002430,杭氧股份,BK0917,23.84,41.8,12.62,26.03,267.78,655,0.34,23333856641.0
300283,温州宏丰,BK0917,90.8,42.7,27.69,96.2,798.95,593,3.91,9104641027.0
300390,天华新能,BK0917,48.56,43.1,3.77,55.44,262.08,691,3.08,68462172439.0
300373,扬杰科技,BK0917,37.45,43.4,18.39,41.95,159.81,731,6.08,54443448257.0
600459,贵研铂业,BK0917,29.79,43.6,17.03,30.94,133.63,731,0.63,19758674856.0
300903,科翔股份,BK0917,66.37,45.3,37.38,69.54,157.48,450,4.08,30180996547.0
002617,露笑科技,BK0917,83.02,47.4,15.26,89.32,2758.39,521,3.23,15846143810.0
300613,富瀚微,BK0917,60.85,48.8,26.03,61.95,366.66,680,1.74,13335145093.0
002156,通富微电,BK0917,65.33,49.5,18.05,65.79,1564.87,649,2.96,97277962059.0
688072,拓荆科技,BK0917,97.74,51.7,43.16,96.28,524.4,1510,3.93,167023512280.0
603290,斯达半导,BK0917,77.65,52.9,19.88,66.9,322.42,773,2.89,26215160323.0
300346,南大光电,BK0917,113.46,53.5,44.5,106.32,710.03,731,4.91,41469414180.0
688012,中微公司,BK0917,91.15,53.8,45.26,87.04,716.47,838,5.02,261228068776.0
600141,兴发集团,BK0917,22.78,53.8,4.55,21.16,170.13,731,3.15,33792924779.0
300666,江丰电子,BK0917,93.03,54.3,24.92,86.01,316.66,821,13.03,58049512234.0
600206,XD有研新,BK0917,82.23,54.3,34.07,77.11,579.56,731,4.12,24372270428.0
600460,士兰微,BK0917,116.53,55.1,26.5,107.29,4684.2,653,4.58,55912813992.0
300077,国民技术,BK0917,80.29,56.2,19.55,76.06,3703.36,352,2.75,14973037536.0
300661,圣邦股份,BK0917,104.81,57.0,34.46,92.98,297.66,823,2.68,65748071183.0
000969,安泰科技,BK0917,57.99,57.0,22.4,52.48,190.97,626,1.0,22344547574.0
603929,亚翔集成,BK0917,37.73,59.2,9.46,29.5,686.77,617,10.0,43911621600.0
603005,晶方科技,BK0917,79.65,59.4,20.73,71.84,327.27,731,1.55,29902072720.0
688141,杰华特,BK0917,508.26,59.4,116.3,155.59,756.58,251,20.0,46698350853.0
300184,力源信息,BK0917,66.82,60.0,12.34,50.61,206.12,662,3.64,18626246860.0
300263,隆华科技,BK0917,56.01,60.2,19.71,51.47,423.01,731,2.47,12026773229.0
601908,京运通,BK0917,38.58,62.9,10.01,31.58,138.5,542,2.03,8499402071.0
003031,中瓷电子,BK0917,96.14,64.3,25.11,75.97,216.87,991,7.28,65303432926.0
688728,格科微,BK0917,328.18,65.2,31.88,177.7,7200.88,787,2.45,34847861338.0
603283,赛腾股份,BK0917,32.09,67.1,11.71,28.4,114.18,772,1.38,16519379747.0
300398,飞凯材料,BK0917,56.08,68.1,17.14,38.41,179.22,731,11.19,25059033090.0
688127,蓝特光学,BK0917,68.51,69.1,28.49,55.65,110.14,1044,0.83,32662587919.0
002243,力合科创,BK0917,60.16,69.4,14.18,39.19,207.51,731,-9.6,9575879372.0
002180,奔图科技,BK0917,67.94,70.0,10.09,47.9,676.46,546,-4.4,21612559630.0
300623,捷捷微电,BK0917,55.06,70.1,25.3,48.41,107.52,675,3.87,26601595010.0
603986,兆易创新,BK0917,115.61,70.6,18.08,95.73,300.78,717,3.15,342783010343.0
002169,智光电气,BK0917,61.14,70.6,4.83,47.96,223.51,514,3.43,12288454276.0
600584,长电科技,BK0917,76.14,70.9,11.2,44.59,755.68,611,6.69,134206092750.0
000021,深科技,BK0917,46.45,71.4,16.34,35.88,123.38,731,4.18,58015526393.0
688372,伟测科技,BK0917,67.15,71.8,29.43,56.14,126.2,1321,4.23,24364407927.0
300304,云意电气,BK0917,29.89,72.2,13.59,25.12,149.2,731,7.82,14173239609.0
688097,博众精工,BK0917,44.69,72.2,21.39,35.85,108.05,927,4.27,30416712797.0
688352,颀中科技,BK0917,58.74,72.5,23.99,50.37,80.75,1096,3.84,23126898117.0
300353,东土科技,BK0917,144.3,73.1,16.68,59.34,391.55,454,1.37,13613728385.0
300037,新宙邦,BK0917,40.97,73.3,15.22,31.49,98.15,731,2.53,56624280193.0
300751,迈为股份,BK0917,84.8,74.0,20.35,51.27,179.68,923,1.66,58404815886.0
300576,容大感光,BK0917,132.25,74.0,28.5,109.73,311.36,692,10.99,16200774034.0
002407,多氟多,BK0917,76.46,74.1,11.08,40.26,534.15,552,-4.1,38391450350.0
002185,华天科技,BK0917,68.44,74.3,18.21,43.56,223.27,731,4.11,58126679044.0
002745,木林森,BK0917,59.42,74.7,11.73,35.14,109.25,722,-0.41,14351889078.0
605111,新洁能,BK0917,61.6,75.2,25.61,38.66,179.37,1040,3.64,24255421913.0
688401,路维光电,BK0917,48.83,75.3,22.27,39.46,95.7,1391,6.03,14033305766.0
688392,骄成超声,BK0917,120.02,76.3,48.19,91.89,586.95,1350,7.15,18546270940.0
688048,长光华芯,BK0917,1744.88,76.4,73.14,139.01,6460.35,810,3.07,60684370378.0
600171,上海贝岭,BK0917,84.58,76.8,14.73,61.27,327.71,671,1.64,18935341423.0
605090,九丰能源,BK0917,18.09,77.1,9.15,14.1,26.2,921,-0.83,25257684069.0
688200,华峰测控,BK0917,104.25,78.5,29.27,60.72,217.01,768,4.1,61679577050.0
688147,微导纳米,BK0917,246.3,79.3,34.39,72.34,825.0,1263,7.03,41202522399.0
300054,鼎龙股份,BK0917,74.41,79.5,16.23,57.46,379.56,634,5.72,65301084800.0
688082,盛美上海,BK0917,94.53,80.0,33.47,54.14,268.09,1663,7.96,127965338055.0
688347,华虹宏力,BK0917,752.95,80.1,18.16,104.27,5253.14,1037,4.68,388892463518.0
688396,华润微,BK0917,91.61,80.5,24.14,63.57,146.4,765,5.88,88007239657.0
688709,成都华微,BK0917,306.98,81.8,32.43,128.77,428.3,853,1.38,20111629081.0
600104,上汽集团,BK0917,13.04,81.9,7.21,10.58,209.52,731,-1.57,129781683020.0
000519,中兵红箭,BK0917,114.42,82.2,19.29,49.81,582.79,658,1.46,26152257682.0
000062,深圳华强,BK0917,57.52,82.5,12.59,23.82,129.17,731,2.25,32831093618.0
300655,晶瑞电材,BK0917,138.15,83.2,34.62,77.98,326.97,644,4.78,16290985599.0
688981,中芯国际,BK0917,193.64,84.0,24.55,93.61,313.32,1077,3.51,1011303053477.0
688233,XD神工股,BK0917,141.12,84.3,31.18,68.8,293.51,606,13.03,15743062236.0
002655,共达电声,BK0917,224.45,84.7,35.79,80.53,378.76,658,0.73,13020082880.0
002516,旷达科技,BK0917,44.3,84.8,11.8,32.54,58.88,731,-0.51,8589697903.0
002079,苏州固锝,BK0917,85.67,84.8,24.85,56.96,264.95,731,3.23,10752215664.0
688593,新相微,BK0917,1179.24,85.2,66.09,346.69,1962.75,798,-0.41,14410842360.0
301013,利和兴,BK0917,216.46,85.3,54.35,97.38,532.44,333,7.2,12731984260.0
688610,埃科光电,BK0917,175.62,85.3,66.52,113.19,282.46,1056,11.47,15376160000.0
300322,硕贝德,BK0917,217.23,85.5,3.1,101.63,444.18,454,1.96,13419312923.0
002975,博杰股份,BK0917,106.43,85.7,19.64,38.89,417.73,610,4.77,25968471931.0
002171,楚江新材,BK0917,54.87,85.8,11.25,31.75,144.25,731,0.23,21536385561.0
600641,先导基电,BK0917,124.14,86.1,4.02,40.84,196.31,671,8.34,25205570790.0
300303,聚飞光电,BK0917,48.25,86.2,17.24,29.78,76.48,731,-4.32,13176291401.0
300400,劲拓股份,BK0917,94.97,86.5,22.05,55.73,165.97,731,5.87,8528296870.0
688549,中巨芯-U,BK0917,2960.09,86.6,1.01,990.61,9999.73,846,13.5,32175071280.0
