==============================================================================
【BK0917】PE 历史分位扫描 (近十年) — 按分位升序
共 214 只,有效估值 212 只,分位<= 100.0% 命中 212 只
扫描时间: 2026-06-09 11:42 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
------------------------------------------------------------------------------
601766  中国中车          11.8    0.0%     11.8     16.5      34.4   0.18%     1601
688107  安路科技         406.4    0.0%    406.4    804.8    2333.5   2.17%      159
688361  中科飞测           1.2    0.1%      1.2    391.1    3958.7   5.21%      707
300456  赛微电子          20.6    1.0%     11.8    103.9     363.8   2.52%      300
301297  富乐德           63.0    1.3%     57.5     99.5     284.6   9.15%      324
300139  晓程科技          58.1    4.3%     35.1    110.3    1073.2   1.30%      109
603160  汇顶科技          32.2    4.6%     22.7     47.1     190.3  -0.04%      244
603379  三美股份          16.3    4.6%     14.9     31.7     125.0  -2.50%      345
688525  佰维存储          34.5    5.0%     31.1    171.8     585.1   3.73%     1411
603690  至纯科技          26.8    9.1%     13.6     67.8     182.3   3.54%      103
603501  豪威集团          31.5    9.5%      1.0     65.8    9161.4   1.37%     1177
002414  高德红外          52.2   13.2%     28.2    120.5    2349.0   1.01%      511
002023  海特高新          71.8   13.6%      9.0    140.0    1651.5   1.45%       83
002049  紫光国微          36.0   16.1%     16.3     60.7     179.0   3.77%      617
600406  国电南瑞          22.1   17.0%     16.8     26.1      50.6  -0.17%     1833
301571  国科天成          44.9   17.7%     38.9     49.5      71.8  -0.69%       96
300724  捷佳伟创          11.3   20.0%      6.1     30.7     108.1   0.54%      247
688187  时代电气          17.4   22.4%     14.8     20.9      57.1   3.91%      745
688126  沪硅产业         184.8   27.5%     89.8    315.6     844.3  20.01%     1049
688256  寒武纪          289.1   27.9%    206.7    318.1    4283.3   1.75%     7993
688556  高测股份          12.3   28.6%      4.2     37.9     122.2   2.79%       89
002402  和而泰           33.6   29.1%     20.8     42.0     118.4   0.62%      225
002409  雅克科技          49.9   29.3%     27.9     62.6     380.9   3.38%      520
300604  长川科技          80.8   29.8%     34.0    100.1    2042.2   5.12%     1336
688521  芯原股份         347.8   30.4%    222.9    398.7    2180.4   4.69%     1173
