==============================================================================
【BK1137】PE 历史分位扫描 (近十年) — 按分位升序
共 95 只,有效估值 94 只,分位<= 100.0% 命中 94 只
扫描时间: 2026-06-09 11:39 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
------------------------------------------------------------------------------
688110  东芯股份           1.9    0.0%      1.9     48.4     448.1   7.13%      562
000620  盈新发展           4.9    2.3%      4.3     12.4      58.8   0.95%      188
002413  雷科防务          42.1    3.5%     38.4     56.7     125.8  -1.66%      133
688525  佰维存储          34.5    5.0%     31.1    171.8     585.1   3.73%     1411
603690  至纯科技          26.8    9.1%     13.6     67.8     182.3   3.54%      103
301308  江波龙           37.7    9.8%     28.2     95.7     663.6   4.37%     2142
002049  紫光国微          36.0   16.1%     16.3     60.7     179.0   3.77%      617
001309  德明利           32.5   17.1%     18.8     52.2    2150.3   4.71%     1397
688380  中微半导          54.2   19.9%     17.3     79.5     260.5   4.37%      170
000016  *ST康佳A        10.5   26.7%      1.4     23.2     130.7   0.98%       74
688126  沪硅产业         184.8   27.5%     89.8    315.6     844.3  20.01%     1049
002409  雅克科技          49.9   29.3%     27.9     62.6     380.9   3.38%      520
300604  长川科技          80.8   29.8%     34.0    100.1    2042.2   5.12%     1336
001287  中电港           53.9   29.9%     43.6     57.3      77.1   0.28%      194
001298  好上好           73.9   31.2%     21.3    101.3     277.6   0.90%       88
300475  香农芯创          40.3   32.8%     22.4     47.5     351.3   1.95%      762
002077  大港股份         118.5   36.7%     19.0    207.7     982.0   3.61%       93
301592  六九一二         119.3   38.4%     72.3    127.1     167.5   6.13%       72
300223  北京君正         116.2   40.6%     30.7    189.5    5466.0   0.24%      724
688019  安集科技          55.3   40.9%     29.4     64.0     291.0   8.03%      491
300236  上海新阳          77.9   41.4%     21.5     86.6    2043.0   6.98%      294
688449  联芸科技         171.1   42.9%    123.0    178.3     273.0   2.06%      307
300903  科翔股份          66.4   45.3%     37.4     69.5     157.5   4.08%      302
300975  商络电子          54.7   45.7%     17.3     60.0     262.3   1.35%      290
688727  恒坤新材         230.8   48.3%    197.6    232.6     309.4   6.94%      235
002156  通富微电          65.3   49.5%     18.1     65.8    1564.9   2.96%      973
688012  中微公司          91.2   53.8%     45.3     87.0     716.5   5.02%     2612
300666  江丰电子          93.0   54.3%     24.9     86.0     316.7  13.03%      580
600206  XD有研新         82.2   54.3%     34.1     77.1     579.6   4.12%      244
603650  彤程新材          54.8   55.9%     21.3     48.4     113.6   4.52%      335
300184  力源信息          66.8   60.0%     12.3     50.6     206.1   3.64%      186
688439  振华风光          65.1   61.7%     14.4     55.2     123.6   0.52%       89
603283  赛腾股份          32.1   67.1%     11.7     28.4     114.2   1.38%      165
300398  飞凯材料          56.1   68.1%     17.1     38.4     179.2  11.19%      251
002559  亚威股份          52.6   68.3%     20.1     36.5    3917.5   1.13%       54
688123  聚辰股份          65.4   69.6%     23.9     51.6     136.5   2.74%      198
688766  普冉股份         125.5   70.2%     20.6     48.4     724.8   7.19%      592
603986  兆易创新         115.6   70.6%     18.1     95.7     300.8   3.15%     3428
600584  长电科技          76.1   70.9%     11.2     44.6     755.7   6.69%     1342
000021  深科技           46.5   71.4%     16.3     35.9     123.4   4.18%      580
002185  华天科技          68.4   74.3%     18.2     43.6     223.3   4.11%      581
301348  蓝箭电子         485.2   75.6%     81.0    278.0     658.4   5.84%       58
600171  上海贝岭          84.6   76.8%     14.7     61.3     327.7   1.64%      189
301099  雅创电子          57.3   77.3%     24.3     45.6      85.5  -2.47%      104
301306  西测测试        1057.8   77.3%     38.4     64.3    1667.1  -0.06%      107
688262  国芯科技         211.9   79.0%     70.8    118.4     320.3   0.94%      111
300857  协创数据          59.8   79.5%     20.8     44.7     110.9   1.71%     1062
688347  华虹宏力         753.0   80.1%     18.2    104.3    5253.1   4.68%     3889
688396  华润微           91.6   80.5%     24.1     63.6     146.4   5.88%      880
300042  朗科科技         105.6   81.1%     27.7     51.5     382.4   0.51%      129
688709  成都华微         307.0   81.8%     32.4    128.8     428.3   1.38%      201
300655  晶瑞电材         138.2   83.2%     34.6     78.0     327.0   4.78%      163
300302  同有科技         381.1   83.4%      1.0    111.2    9865.0  -0.35%      231
688008  澜起科技         107.2   83.7%     41.5     79.9     142.7   4.24%     2858
301269  华大九天         843.4   84.9%    167.3    334.3    1109.3   2.75%      533
000034  神州数码          43.3   85.6%      9.1     21.9      87.3   0.30%      235
688206  概伦电子         851.5   85.9%    246.9    390.6    5785.7   1.93%      177
300842  帝科股份         150.1   86.6%      9.7     61.6     398.0   2.98%      116
688416  恒烁股份         213.9   88.0%     23.4     48.0     302.1   4.50%       93
688120  华海清科          77.4   88.6%     32.6     48.5     144.7   5.28%      895
002119  康强电子          78.2   88.9%     19.1     55.9    1457.3   2.65%       93
600667  太极实业          68.0   90.0%     14.1     28.6     264.0   2.14%      319
002654  万润科技         420.2   90.4%     21.6     63.8    1301.6   3.38%      124
603316  诚邦股份         133.4   91.4%     21.2     46.1     164.3   4.43%       53
000670  盈方微         6777.4   91.4%     55.3    309.8    8524.6   1.20%       78
002935  天奥电子         117.8   91.7%     36.9     58.1     157.4   2.18%       80
603776  永安行          120.6   91.9%      4.7     10.6     150.9   1.61%       55
688652  京仪装备         130.8   92.2%     49.3     69.7     181.6   5.27%      218
301563  云汉芯城         125.1   92.9%     73.2     91.8     150.5   2.91%      167
688627  精智达          367.1   93.2%     29.7     85.3     430.6   4.44%      369
688385  复旦微电         176.7   93.3%     23.0     67.8     308.0   2.86%      444
688478  晶升股份         431.2   93.8%     32.1     92.2     516.6   9.81%       83
688328  深科达          160.6   94.4%     25.8     41.0     199.4   3.81%       62
001389  广合科技          71.0   95.4%     24.5     37.0      80.1   5.69%      877
002183  怡 亚 通        192.7   96.9%     17.5     58.2     338.0  -3.28%      161
002579  中京电子         392.9   97.0%     23.4     45.8    2136.7  -2.02%      101
688135  利扬芯片        4273.6   97.1%     32.1     99.9    5653.4   3.41%       80
000818  航锦科技         198.7   97.7%     10.7     55.0     358.6   0.08%       85
300316  晶盛机电         144.6   98.1%      6.4     43.5     174.1   8.24%      649
300053  航宇微          211.2   98.2%     44.5     77.2     267.9  -2.06%      116
002213  大为股份        4457.5   98.3%    116.9    346.1    5410.4   2.90%       87
300672  国科微          998.2   98.4%     22.9    117.8    1226.4   1.53%      610
688611  杭州柯林         223.6   98.7%     19.7     50.2     245.3   1.53%      112
300131  英唐智控        1360.2   98.7%     20.2     97.1    1991.3   2.87%      183
688596  正帆科技         146.3   98.7%     17.2     32.6     190.9  17.05%      131
688170  德龙激光         466.4   98.7%     30.6     84.2     566.5   2.17%       80
002916  深南电路          69.3   98.7%     18.9     37.5      80.3   5.74%     2662
300567  精测电子         570.8   99.2%     20.3     67.1     627.0   3.62%      515
301379  天山电子          53.1   99.3%     14.4     25.3      59.4  -0.79%       66
688432  有研硅          116.9   99.3%     34.2     58.5     126.9  13.27%      279
603688  石英股份         267.9   99.5%      2.9     45.7     294.0   5.39%      388
300455  航天智装         198.3   99.7%     35.3     65.5     203.6   0.32%      158
688403  汇成股份         219.8   99.7%     28.0     50.9     220.0   5.87%      236
603938  XD三孚股        216.7   99.9%     10.5     34.0     216.7   0.25%      200
------------------------------------------------------------------------------
分位<20% = 当前 PE 处于自身历史低位(相对低点)
⚠ 分位低也可能是业绩恶化/盈利下滑导致,需结合基本面核实
