code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
603025,大豪科技,机器人概念,20.81,0.0,20.81,33.88,169.69,731,1.17,16414825163.0
688049,炬芯科技,机器人概念,32.81,0.0,32.81,56.66,127.69,1652,2.44,7120564973.0
688208,道通科技,机器人概念,20.87,0.0,20.87,51.63,152.99,770,-0.31,19368310606.0
301602,超研股份,机器人概念,54.27,0.0,54.27,68.88,111.01,503,-1.6,6339278642.0
688107,安路科技,机器人概念,406.41,0.0,406.41,804.76,2333.46,241,1.6,15785448072.0
301632,广东建科,机器人概念,52.16,0.0,52.16,75.98,179.33,301,0.6,7019251200.0
301613,新铝时代,机器人概念,24.42,0.0,24.42,32.96,58.97,592,1.6,5834200978.0
301584,建发致新,机器人概念,31.35,0.0,31.35,41.59,61.52,257,-0.33,8922890621.0
603418,友升股份,机器人概念,18.72,0.0,18.72,21.67,32.04,259,0.43,9495106076.0
600196,复星医药,机器人概念,16.63,0.1,16.15,25.56,56.51,731,0.14,57894907766.0
603072,天和磁材,机器人概念,54.02,0.2,53.8,77.08,120.71,522,1.58,9500866000.0
689009,九号公司-WD,机器人概念,17.95,0.3,17.49,53.83,701.92,964,-2.68,26295480875.0
688155,先惠技术,机器人概念,21.55,0.6,20.53,51.88,152.86,793,0.95,9702699254.0
688088,虹软科技,机器人概念,59.99,0.6,57.1,111.73,336.54,838,-1.25,15569423224.0
603352,至信股份,机器人概念,32.46,0.7,32.43,39.4,66.69,145,-1.67,6546133343.0
600320,振华重工,机器人概念,27.37,0.8,25.4,43.28,125.45,731,-1.35,23023740417.0
002997,瑞鹄模具,机器人概念,14.56,1.1,13.55,26.7,55.66,1053,-0.93,5785641423.0
688213,思特威-W,机器人概念,33.73,1.2,30.57,75.8,1573.78,1119,1.71,35905879669.0
301339,通行宝,机器人概念,28.92,1.3,24.66,43.07,82.49,1368,0.18,6551963183.0
002204,大连重工,机器人概念,17.8,1.7,3.37,55.33,612.94,645,-0.35,10854299580.0
600968,海油发展,机器人概念,10.27,2.8,9.92,15.94,43.25,847,-3.02,39135651166.0
002801,微光股份,机器人概念,16.96,3.0,14.9,28.99,124.03,728,-0.13,7040517120.0
688475,萤石网络,机器人概念,35.34,3.0,33.12,49.0,88.55,1258,-2.7,21018375000.0
600933,爱柯迪,机器人概念,13.73,3.5,11.88,23.27,60.09,782,-1.99,15245983836.0
002415,海康威视,机器人概念,18.59,4.9,16.74,24.87,49.28,731,0.03,277787256681.0
688525,佰维存储,机器人概念,34.45,5.0,31.09,171.81,585.08,397,3.6,140941842145.0
002901,大博医疗,机器人概念,25.85,5.1,21.01,43.61,2458.07,758,1.12,16809191944.0
603338,浙江鼎力,机器人概念,13.62,5.2,10.95,38.01,75.83,731,-1.35,25833868787.0
301510,固高科技,机器人概念,176.79,5.8,133.37,233.37,522.03,1029,-1.79,13408335200.0
603893,瑞芯微,机器人概念,59.43,5.8,30.37,102.7,584.62,772,2.98,70971269668.0
002920,德赛西威,机器人概念,24.28,5.8,17.41,49.25,144.52,772,-2.52,55222763974.0
301536,星宸科技,机器人概念,66.09,6.1,54.23,94.65,180.09,803,9.14,34437265845.0
603486,科沃斯,机器人概念,21.02,8.4,14.78,39.56,287.89,734,-1.88,34816402758.0
002698,博实股份,机器人概念,26.6,8.8,20.69,33.87,139.85,731,-2.81,12720665993.0
002519,银河电子,机器人概念,24.48,8.9,19.11,32.62,911.04,562,0.0,7141571893.0
300415,伊之密,机器人概念,14.0,9.0,9.14,19.36,58.21,731,-0.71,9891345593.0
688582,芯动联科,机器人概念,71.26,9.4,58.82,91.98,171.09,1075,-0.04,18632657417.0
300444,双杰电气,机器人概念,22.33,9.7,13.76,70.13,4475.05,537,-0.46,10355460558.0
301308,江波龙,机器人概念,37.74,9.8,28.21,95.73,663.62,728,4.31,214064638932.0
000551,创元科技,机器人概念,20.62,10.0,16.13,29.94,171.99,731,-0.21,6989850523.0
300674,宇信科技,机器人概念,26.41,10.2,22.17,39.82,85.99,924,-0.38,11032574130.0
300442,润泽科技,机器人概念,23.28,10.6,15.24,48.14,587.6,452,1.17,122543081104.0
300409,道氏技术,机器人概念,27.92,12.6,15.1,61.69,402.02,634,0.29,15981346110.0
000651,格力电器,机器人概念,7.32,12.7,6.43,9.0,25.5,731,-0.89,211565094838.0
000795,英洛华,机器人概念,40.28,12.9,28.15,52.06,914.26,715,3.82,10314156597.0
688002,睿创微纳,机器人概念,37.38,13.1,19.85,57.53,203.27,838,1.27,55670483713.0
600889,*ST京化,机器人概念,12.56,13.1,6.7,25.97,374.78,275,1.75,8772041687.0
603666,亿嘉和,机器人概念,26.92,13.7,17.14,33.1,66.27,445,-0.84,5802123757.0
605333,沪光股份,机器人概念,21.36,13.8,17.37,67.7,6857.79,886,-0.99,8849250542.0
002697,红旗连锁,机器人概念,13.58,14.2,9.84,16.66,79.25,731,-2.15,6201600000.0
300001,特锐德,机器人概念,34.53,14.5,23.27,75.11,259.76,731,-1.52,42517059080.0
002236,大华股份,机器人概念,13.79,14.8,5.78,17.75,38.12,731,0.0,53812053738.0
002705,新宝股份,机器人概念,12.1,15.6,9.66,17.47,55.87,731,-1.37,9921122032.0
688169,石头科技,机器人概念,20.61,16.0,15.7,26.72,75.15,767,-2.15,28617253905.0
600268,国电南自,机器人概念,24.86,16.0,16.53,33.05,356.13,689,1.41,12413940907.0
600704,物产中大,机器人概念,6.73,17.0,5.51,8.41,22.65,731,-0.64,24149410086.0
001283,豪鹏科技,机器人概念,30.59,17.2,17.77,39.05,80.33,1372,0.04,6467147584.0
002779,中坚科技,机器人概念,85.7,17.4,49.3,126.94,1361.34,609,7.12,14597352000.0
002444,巨星科技,机器人概念,14.47,17.5,10.73,17.68,45.76,731,-0.74,36825762351.0
603236,移远通信,机器人概念,30.65,17.6,21.73,56.69,177.38,840,-1.72,23089194695.0
688207,格灵深瞳,机器人概念,117.61,18.0,88.6,145.51,288.04,367,20.01,5420307967.0
300953,震裕科技,机器人概念,48.2,18.2,32.93,62.95,287.51,955,-0.43,34642494932.0
688563,航材股份,机器人概念,41.56,18.9,33.42,45.16,63.67,1056,-0.75,21523500000.0
000599,青岛双星,机器人概念,41.61,19.0,28.44,53.72,4381.23,306,-2.41,11028312369.0
300014,亿纬锂能,机器人概念,26.36,19.6,15.72,40.16,160.12,731,1.97,120400650199.0
300099,尤洛卡,机器人概念,30.15,20.4,16.08,46.27,336.64,731,0.66,5588470633.0
002841,视源股份,机器人概念,21.94,20.4,15.04,31.89,56.05,686,-0.69,23929048817.0
601608,中信重工,机器人概念,63.57,22.0,39.88,83.96,494.6,600,0.0,24134246613.0
688187,时代电气,机器人概念,17.45,22.4,14.84,20.94,57.15,868,2.8,73692389760.0
002533,金杯电工,机器人概念,13.92,22.6,10.48,17.18,50.86,731,-0.18,8271515769.0
000528,柳    工,机器人概念,11.26,22.9,6.86,15.51,2071.36,702,-1.16,17334552577.0
300700,岱勒新材,机器人概念,25.23,23.3,13.98,36.8,860.38,318,7.25,8456713930.0
301015,百洋医药,机器人概念,20.83,23.4,12.41,25.72,73.1,903,-1.18,10570300188.0
002497,雅化集团,机器人概念,26.59,23.8,4.48,48.5,301.79,659,0.2,23673634161.0
301479,弘景光电,机器人概念,43.26,24.6,38.04,45.81,64.47,448,-0.6,7899053974.0
002448,中原内配,机器人概念,14.82,25.3,9.86,20.52,49.63,731,0.48,7396309250.0
001288,运机集团,机器人概念,27.21,25.3,19.28,29.83,51.0,841,0.99,5724057403.0
600894,广日股份,机器人概念,10.43,25.4,5.34,12.04,30.14,731,-1.84,7281849995.0
300496,中科创达,机器人概念,64.99,25.6,29.92,93.76,2607.07,731,-1.03,29582211650.0
688219,会通股份,机器人概念,30.18,25.8,17.08,39.25,108.37,1015,6.36,6430320000.0
002850,科达利,机器人概念,27.7,26.0,14.17,43.24,121.41,678,-1.11,50352237707.0
603166,福达股份,机器人概念,27.72,26.1,15.99,32.42,261.55,731,-3.85,8703370775.0
300836,佰奥智能,机器人概念,64.81,27.2,29.37,109.98,9463.06,644,3.23,6523213232.0
601966,玲珑轮胎,机器人概念,16.72,27.2,10.21,20.8,445.76,725,-0.84,17327871767.0
600587,新华医疗,机器人概念,15.94,27.4,7.75,19.35,317.79,694,-1.01,7728651554.0
301367,瑞迈特,机器人概念,28.13,27.5,13.7,36.08,70.14,1315,-0.58,5374698830.0
600335,国机汽车,机器人概念,19.09,28.0,10.85,23.98,239.76,731,-0.75,7838897821.0
002708,光洋股份,机器人概念,78.83,28.5,37.1,105.29,390.65,439,-3.51,8184146400.0
688556,高测股份,机器人概念,12.33,28.6,4.18,37.89,122.16,833,3.75,8955743009.0
688277,天智航-U,机器人概念,10.13,28.8,9.01,10.93,14.12,59,2.44,7833943144.0
688333,铂力特,机器人概念,101.58,29.0,48.39,130.62,1123.36,714,-1.1,23660287508.0
002402,和而泰,机器人概念,33.61,29.1,20.79,42.02,118.38,731,0.33,22392195011.0
002553,南方精工,机器人概念,25.61,29.6,7.75,41.2,1201.42,679,1.3,6598157960.0
002265,建设工业,机器人概念,86.8,30.3,20.96,231.07,2621.95,466,0.72,20350896018.0
600998,九州通,机器人概念,11.97,30.4,6.84,14.2,52.09,731,-1.04,23901308909.0
002226,江南化工,机器人概念,18.14,30.5,9.46,21.34,440.23,731,-0.78,13430038875.0
001298,好上好,机器人概念,73.9,31.2,21.32,101.3,277.62,1316,1.04,8784359888.0
601677,明泰铝业,机器人概念,9.88,31.5,5.95,11.09,45.1,731,-3.12,21264254022.0
300748,金力永磁,机器人概念,54.42,31.6,28.69,70.29,195.7,705,1.06,40579884262.0
002594,比亚迪,机器人概念,30.18,31.6,16.95,40.96,282.6,731,-0.88,824103487900.0
603194,中力股份,机器人概念,16.87,32.7,14.55,17.94,26.05,532,-0.42,14267580000.0
