==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
------------------------------------------------------------------------------
603025  大豪科技          20.8    0.0%     20.8     33.9     169.7   1.17%      164
688049  炬芯科技          32.8    0.0%     32.8     56.7     127.7   2.44%       71
688208  道通科技          20.9    0.0%     20.9     51.6     153.0  -0.31%      194
301602  超研股份          54.3    0.0%     54.3     68.9     111.0  -1.60%       63
688107  安路科技         406.4    0.0%    406.4    804.8    2333.5   1.60%      158
301632  广东建科          52.2    0.0%     52.2     76.0     179.3   0.60%       70
301613  新铝时代          24.4    0.0%     24.4     33.0      59.0   1.60%       58
301584  建发致新          31.4    0.0%     31.4     41.6      61.5  -0.33%       89
603418  友升股份          18.7    0.0%     18.7     21.7      32.0   0.43%       95
600196  复星医药          16.6    0.1%     16.1     25.6      56.5   0.14%      579
603072  天和磁材          54.0    0.2%     53.8     77.1     120.7   1.58%       95
689009  九号公司-WD       17.9    0.3%     17.5     53.8     701.9  -2.68%      263
688155  先惠技术          21.6    0.6%     20.5     51.9     152.9   0.95%       97
688088  虹软科技          60.0    0.6%     57.1    111.7     336.5  -1.25%      156
603352  至信股份          32.5    0.7%     32.4     39.4      66.7  -1.67%       65
600320  振华重工          27.4    0.8%     25.4     43.3     125.5  -1.35%      230
002997  瑞鹄模具          14.6    1.1%     13.6     26.7      55.7  -0.93%       58
688213  思特威-W         33.7    1.2%     30.6     75.8    1573.8   1.71%      359
301339  通行宝           28.9    1.3%     24.7     43.1      82.5   0.18%       66
002204  大连重工          17.8    1.7%      3.4     55.3     612.9  -0.35%      109
600968  海油发展          10.3    2.8%      9.9     15.9      43.2  -3.02%      391
002801  微光股份          17.0    3.0%     14.9     29.0     124.0  -0.13%       70
688475  萤石网络          35.3    3.0%     33.1     49.0      88.5  -2.70%      210
600933  爱柯迪           13.7    3.5%     11.9     23.3      60.1  -1.99%      152
002415  海康威视          18.6    4.9%     16.7     24.9      49.3   0.03%     2778
688525  佰维存储          34.5    5.0%     31.1    171.8     585.1   3.60%     1409
002901  大博医疗          25.9    5.1%     21.0     43.6    2458.1   1.12%      168
603338  浙江鼎力          13.6    5.2%     10.9     38.0      75.8  -1.35%      258
301510  固高科技         176.8    5.8%    133.4    233.4     522.0  -1.79%      134
603893  瑞芯微           59.4    5.8%     30.4    102.7     584.6   2.98%      710
002920  德赛西威          24.3    5.8%     17.4     49.2     144.5  -2.52%      552
301536  星宸科技          66.1    6.1%     54.2     94.7     180.1   9.14%      344
603486  科沃斯           21.0    8.4%     14.8     39.6     287.9  -1.88%      348
002698  博实股份          26.6    8.8%     20.7     33.9     139.8  -2.81%      127
002519  银河电子          24.5    8.9%     19.1     32.6     911.0   0.00%       71
300415  伊之密           14.0    9.0%      9.1     19.4      58.2  -0.71%       99
688582  芯动联科          71.3    9.4%     58.8     92.0     171.1  -0.04%      186
300444  双杰电气          22.3    9.7%     13.8     70.1    4475.1  -0.46%      104
301308  江波龙           37.7    9.8%     28.2     95.7     663.6   4.31%     2141
000551  创元科技          20.6   10.0%     16.1     29.9     172.0  -0.21%       70
300674  宇信科技          26.4   10.2%     22.2     39.8      86.0  -0.38%      110
300442  润泽科技          23.3   10.6%     15.2     48.1     587.6   1.17%     1225
300409  道氏技术          27.9   12.6%     15.1     61.7     402.0   0.29%      160
000651  格力电器           7.3   12.7%      6.4      9.0      25.5  -0.89%     2116
000795  英洛华           40.3   12.9%     28.1     52.1     914.3   3.82%      103
688002  睿创微纳          37.4   13.1%     19.9     57.5     203.3   1.27%      557
600889  *ST京化         12.6   13.1%      6.7     26.0     374.8   1.75%       88
603666  亿嘉和           26.9   13.7%     17.1     33.1      66.3  -0.84%       58
605333  沪光股份          21.4   13.8%     17.4     67.7    6857.8  -0.99%       88
002697  红旗连锁          13.6   14.2%      9.8     16.7      79.2  -2.15%       62
300001  特锐德           34.5   14.5%     23.3     75.1     259.8  -1.52%      425
002236  大华股份          13.8   14.8%      5.8     17.8      38.1   0.00%      538
002705  新宝股份          12.1   15.6%      9.7     17.5      55.9  -1.37%       99
688169  石头科技          20.6   16.0%     15.7     26.7      75.2  -2.15%      286
600268  国电南自          24.9   16.0%     16.5     33.0     356.1   1.41%      124
600704  物产中大           6.7   17.0%      5.5      8.4      22.6  -0.64%      241
001283  豪鹏科技          30.6   17.2%     17.8     39.0      80.3   0.04%       65
002779  中坚科技          85.7   17.4%     49.3    126.9    1361.3   7.12%      146
002444  巨星科技          14.5   17.5%     10.7     17.7      45.8  -0.74%      368
603236  移远通信          30.6   17.6%     21.7     56.7     177.4  -1.72%      231
688207  格灵深瞳         117.6   18.0%     88.6    145.5     288.0  20.01%       54
300953  震裕科技          48.2   18.2%     32.9     63.0     287.5  -0.43%      346
688563  航材股份          41.6   18.9%     33.4     45.2      63.7  -0.75%      215
000599  青岛双星          41.6   19.0%     28.4     53.7    4381.2  -2.41%      110
300014  亿纬锂能          26.4   19.6%     15.7     40.2     160.1   1.97%     1204
300099  尤洛卡           30.1   20.4%     16.1     46.3     336.6   0.66%       56
002841  视源股份          21.9   20.4%     15.0     31.9      56.0  -0.69%      239
601608  中信重工          63.6   22.0%     39.9     84.0     494.6   0.00%      241
688187  时代电气          17.4   22.4%     14.8     20.9      57.1   2.80%      737
002533  金杯电工          13.9   22.6%     10.5     17.2      50.9  -0.18%       83
000528  柳    工        11.3   22.9%      6.9     15.5    2071.4  -1.16%      173
300700  岱勒新材          25.2   23.3%     14.0     36.8     860.4   7.25%       85
301015  百洋医药          20.8   23.4%     12.4     25.7      73.1  -1.18%      106
002497  雅化集团          26.6   23.8%      4.5     48.5     301.8   0.20%      237
301479  弘景光电          43.3   24.6%     38.0     45.8      64.5  -0.60%       79
002448  中原内配          14.8   25.3%      9.9     20.5      49.6   0.48%       74
001288  运机集团          27.2   25.3%     19.3     29.8      51.0   0.99%       57
600894  广日股份          10.4   25.4%      5.3     12.0      30.1  -1.84%       73
300496  中科创达          65.0   25.6%     29.9     93.8    2607.1  -1.03%      296
688219  会通股份          30.2   25.8%     17.1     39.2     108.4   6.36%       64
002850  科达利           27.7   26.0%     14.2     43.2     121.4  -1.11%      504
603166  福达股份          27.7   26.1%     16.0     32.4     261.6  -3.85%       87
300836  佰奥智能          64.8   27.2%     29.4    110.0    9463.1   3.23%       65
601966  玲珑轮胎          16.7   27.2%     10.2     20.8     445.8  -0.84%      173
600587  新华医疗          15.9   27.4%      7.8     19.4     317.8  -1.01%       77
301367  瑞迈特           28.1   27.5%     13.7     36.1      70.1  -0.58%       54
600335  国机汽车          19.1   28.0%     10.8     24.0     239.8  -0.75%       78
002708  光洋股份          78.8   28.5%     37.1    105.3     390.6  -3.51%       82
688556  高测股份          12.3   28.6%      4.2     37.9     122.2   3.75%       90
688277  天智航-U         10.1   28.8%      9.0     10.9      14.1   2.44%       78
688333  铂力特          101.6   29.0%     48.4    130.6    1123.4  -1.10%      237
